sample_id,R_score,I_score,A_score,S_score,E_score,C_score,R_norm,I_norm,A_norm,S_norm,E_norm,C_norm,r_CNTT,r_ATTT,r_MKT,r_TMDT,r_TTDPT,r_KETOAN,r_best,r_second,confidence,fit_quality,assigned_major,age,gender,education
1400,7.0,10.0,16.0,6.0,8.0,23.0,0.21875,0.3125,0.5,0.1875,0.25,0.71875,0.48130834,0.43569416,0.18477654,0.418206,0.3781894,0.63212496,0.63212496,0.48130834,0.15081663,Great Fit,KETOAN,35,2,2
26964,12.0,11.0,5.0,3.0,2.0,13.0,0.375,0.34375,0.15625,0.09375,0.0625,0.40625,0.8774864,0.7992238,-0.39730746,-0.018477377,-0.03920011,0.35646075,0.8774864,0.7992238,0.07826262,Best Fit,CNTT,45,2,3
8458,14.0,16.0,20.0,10.0,21.0,27.0,0.4375,0.5,0.625,0.3125,0.65625,0.84375,0.3539046,0.43339697,0.57452935,0.72905135,0.23281111,0.72172445,0.72905135,0.72172445,0.0073268837,Best Fit,TMDT,18,2,2
993,1.0,14.0,8.0,17.0,15.0,13.0,0.03125,0.4375,0.25,0.53125,0.46875,0.40625,-0.046653442,0.10393428,0.62888867,0.29487282,-0.523761,0.48829427,0.62888867,0.48829427,0.14059438,Great Fit,MKT,20,2,2
6373,16.0,30.0,19.0,19.0,22.0,26.0,0.5,0.9375,0.59375,0.59375,0.6875,0.8125,0.7514531,0.74437886,0.37302518,0.18676837,-0.33227482,0.6943085,0.7514531,0.74437886,0.007074279,Best Fit,CNTT,16,1,2
12348,0.0,4.0,0.0,2.0,10.0,0.0,0.0,0.125,0.0,0.0625,0.3125,0.0,-0.2793839,-0.07077815,0.76820064,0.3978505,-0.4470302,0.16262151,0.76820064,0.3978505,0.3703501,Best Fit,MKT,20,1,3
24589,2.0,28.0,2.0,11.0,3.0,7.0,0.0625,0.875,0.0625,0.34375,0.09375,0.21875,0.6113337,0.5023779,-0.108077675,-0.38165858,-0.41284588,0.20081623,0.6113337,0.5023779,0.10895577,Great Fit,CNTT,26,1,2
8920,14.0,18.0,12.0,20.0,16.0,18.0,0.4375,0.5625,0.375,0.625,0.5,0.5625,0.24389483,0.43157706,0.25092733,0.1846575,-0.8515946,0.51154155,0.51154155,0.43157706,0.07996448,Good Fit,KETOAN,15,2,2
13764,5.0,4.0,3.0,21.0,22.0,22.0,0.15625,0.125,0.09375,0.65625,0.6875,0.6875,-0.2359084,0.11451665,0.7169419,0.7750834,-0.60789305,0.60934186,0.7750834,0.7169419,0.05814152,Best Fit,TMDT,19,2,3
6528,4.0,0.0,1.0,22.0,27.0,23.0,0.125,0.0,0.03125,0.6875,0.84375,0.71875,-0.3190755,0.042698737,0.7530569,0.8042357,-0.57020265,0.55493474,0.8042357,0.7530569,0.051178835,Best Fit,TMDT,48,2,2
27179,20.0,12.0,12.0,12.0,13.0,22.0,0.625,0.375,0.375,0.375,0.40625,0.6875,0.4494578,0.5770359,-0.085398614,0.47247535,-0.104309835,0.4599084,0.5770359,0.47247535,0.10456059,Good Fit,ATTT,22,2,1
22151,10.0,10.0,9.0,22.0,21.0,21.0,0.3125,0.3125,0.28125,0.6875,0.65625,0.65625,-0.25766006,0.081242174,0.6759187,0.7090269,-0.62722033,0.56926006,0.7090269,0.6759187,0.033108186,Great Fit,TMDT,22,2,3
19826,11.0,12.0,24.0,17.0,12.0,11.0,0.34375,0.375,0.75,0.53125,0.375,0.34375,-0.5144605,-0.7572257,-0.26608565,-0.46934736,0.76035583,-0.5466479,0.76035583,-0.26608565,1.0264415,Best Fit,TTDPT,20,2,2
12117,12.0,31.0,26.0,28.0,32.0,31.0,0.375,0.96875,0.8125,0.875,1.0,0.96875,0.11876916,0.20947379,0.7334692,0.3999821,-0.25137872,0.61746585,0.7334692,0.61746585,0.11600336,Best Fit,MKT,19,2,3
27473,24.0,31.0,2.0,12.0,7.0,22.0,0.75,0.96875,0.0625,0.375,0.21875,0.6875,0.84938836,0.8328444,-0.30847642,-0.134946,-0.48558,0.322241,0.84938836,0.8328444,0.016543997,Best Fit,CNTT,19,1,2
28683,14.0,10.0,4.0,8.0,13.0,12.0,0.4375,0.3125,0.125,0.25,0.40625,0.375,0.28284034,0.5549238,0.27277774,0.5328021,-0.6429283,0.3938335,0.5549238,0.5328021,0.022121679,Good Fit,ATTT,35,1,2
20099,18.0,17.0,17.0,17.0,13.0,22.0,0.5625,0.53125,0.53125,0.53125,0.40625,0.6875,0.6315075,0.57813156,-0.34785423,0.0868616,0.068980806,0.44893202,0.6315075,0.57813156,0.053375963,Great Fit,CNTT,23,1,3
21225,4.0,2.0,15.0,29.0,28.0,29.0,0.125,0.0625,0.46875,0.90625,0.875,0.90625,-0.42237923,-0.1538253,0.66762286,0.68894553,-0.26109865,0.46656922,0.68894553,0.66762286,0.021322696,Great Fit,TMDT,18,2,2
17108,1.0,16.0,3.0,5.0,2.0,5.0,0.03125,0.5,0.09375,0.15625,0.0625,0.15625,0.6724343,0.5280421,-0.08674922,-0.36209908,-0.27825487,0.24077861,0.6724343,0.5280421,0.14439219,Great Fit,CNTT,26,2,2
16047,6.0,18.0,27.0,9.0,4.0,4.0,0.1875,0.5625,0.84375,0.28125,0.125,0.125,-0.010733622,-0.3754268,-0.41188076,-0.6943576,0.7483166,-0.48306832,0.7483166,-0.010733622,0.7590502,Best Fit,TTDPT,24,2,3
440,13.0,8.0,1.0,6.0,11.0,19.0,0.40625,0.25,0.03125,0.1875,0.34375,0.59375,0.5095402,0.7665211,0.31119367,0.713567,-0.5186844,0.74168116,0.7665211,0.74168116,0.024839979,Best Fit,ATTT,17,2,2
12821,17.0,22.0,9.0,10.0,4.0,19.0,0.53125,0.6875,0.28125,0.3125,0.125,0.59375,0.92645794,0.80114716,-0.46345106,-0.24012138,-0.16960868,0.30902392,0.92645794,0.80114716,0.12531078,Best Fit,CNTT,27,1,3
