sample_id,R_score,I_score,A_score,S_score,E_score,C_score,R_norm,I_norm,A_norm,S_norm,E_norm,C_norm,r_CNTT,r_ATTT,r_MKT,r_TMDT,r_TTDPT,r_KETOAN,r_best,r_second,confidence,fit_quality,assigned_major,age,gender,education
0,20.0,15.0,10.0,9.0,7.0,20.0,0.625,0.46875,0.3125,0.28125,0.21875,0.625,0.75531054,0.720461,-0.42687708,0.041648988,-0.054547932,0.31148684,0.75531054,0.720461,0.034849532,Best Fit,CNTT,22,1,2
1,15.0,11.0,19.0,11.0,17.0,14.0,0.46875,0.34375,0.59375,0.34375,0.53125,0.4375,-0.4353835,-0.48250216,0.19833468,0.23063831,0.74494433,-0.23312646,0.74494433,0.23063831,0.514306,Best Fit,TTDPT,13,1,1
2,0.0,8.0,27.0,12.0,11.0,4.0,0.0,0.25,0.84375,0.375,0.34375,0.125,-0.4927198,-0.69521403,0.03424695,-0.29649413,0.70173866,-0.38824558,0.70173866,0.03424695,0.6674917,Great Fit,TTDPT,24,2,3
3,5.0,17.0,4.0,10.0,14.0,23.0,0.15625,0.53125,0.125,0.3125,0.4375,0.71875,0.644669,0.82732266,0.5823918,0.62236387,-0.56652725,0.9643876,0.9643876,0.82732266,0.13706492,Best Fit,KETOAN,45,2,3
4,8.0,19.0,5.0,7.0,4.0,7.0,0.25,0.59375,0.15625,0.21875,0.125,0.21875,0.73110247,0.56848663,-0.3158663,-0.4803984,-0.28202334,0.08517015,0.73110247,0.56848663,0.16261582,Best Fit,CNTT,18,1,2
5,16.0,6.0,1.0,2.0,7.0,9.0,0.5,0.1875,0.03125,0.0625,0.21875,0.28125,0.3515927,0.47195223,-0.17335129,0.23246416,-0.26140457,0.11071101,0.47195223,0.3515927,0.120359525,Good Fit,ATTT,17,1,1
6,9.0,15.0,2.0,5.0,6.0,12.0,0.28125,0.46875,0.0625,0.15625,0.1875,0.375,0.91830456,0.94429684,-0.010744137,0.092923954,-0.51581085,0.56851476,0.94429684,0.91830456,0.02599227,Best Fit,ATTT,13,1,1
7,17.0,21.0,7.0,17.0,16.0,15.0,0.53125,0.65625,0.21875,0.53125,0.5,0.46875,0.44339067,0.5848418,0.04135846,-0.0023793983,-0.8755471,0.2667389,0.5848418,0.44339067,0.14145115,Good Fit,ATTT,27,2,2
8,0.0,0.0,8.0,4.0,13.0,6.0,0.0,0.0,0.25,0.125,0.40625,0.1875,-0.55133456,-0.378326,0.8087844,0.6433413,0.15805073,0.22228822,0.8087844,0.6433413,0.16544311,Best Fit,MKT,15,2,1
9,4.0,1.0,0.0,9.0,8.0,7.0,0.125,0.03125,0.0,0.28125,0.25,0.21875,-0.3385555,0.024206707,0.51607126,0.62968534,-0.70673186,0.39164793,0.62968534,0.51607126,0.11361409,Great Fit,TMDT,17,2,2
10,2.0,2.0,3.0,13.0,19.0,14.0,0.0625,0.0625,0.09375,0.40625,0.59375,0.4375,-0.34682664,0.0019836726,0.85479116,0.82211626,-0.5097823,0.555089,0.85479116,0.82211626,0.032674924,Best Fit,MKT,18,2,2
11,1.0,10.0,27.0,11.0,2.0,0.0,0.03125,0.3125,0.84375,0.34375,0.0625,0.0,-0.30692253,-0.6189405,-0.3392622,-0.6233329,0.7535405,-0.5490783,0.7535405,-0.30692253,1.0604631,Best Fit,TTDPT,14,2,1
12,0.0,14.0,6.0,0.0,0.0,4.0,0.0,0.4375,0.1875,0.0,0.0,0.125,0.69401634,0.44109157,-0.16271788,-0.40420434,0.15805383,0.15122724,0.69401634,0.44109157,0.2529248,Great Fit,CNTT,26,2,2
13,14.0,15.0,17.0,19.0,22.0,24.0,0.4375,0.46875,0.53125,0.59375,0.6875,0.75,-0.07044429,0.20609269,0.81227803,0.88859594,-0.27206177,0.77120364,0.88859594,0.81227803,0.07631792,Best Fit,TMDT,21,1,3
14,5.0,17.0,15.0,22.0,22.0,13.0,0.15625,0.53125,0.46875,0.6875,0.6875,0.40625,-0.39415678,-0.2778712,0.61834115,0.16451523,-0.32992023,0.15765193,0.61834115,0.16451523,0.45382595,Great Fit,MKT,26,2,3
